statement,label,subject,speaker,job_title,state_info,party_affiliation
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 0,Half True,health,politician_1,Senator,Texas,republican
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 1,Barely True,worldnews,politician_11,Blogger,New York,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 2,Mostly True,finance,politician_14,Senator,California,republican
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 3,Barely True,worldnews,politician_5,Blogger,California,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 4,Barely True,sports,politician_9,Blogger,Texas,independent
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 5,False,finance,politician_13,Blogger,Texas,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 6,Half True,health,politician_17,Senator,Texas,democrat
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 7,Mostly True,worldnews,politician_11,Senator,Texas,republican
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 8,Mostly True,politics,politician_11,Senator,Texas,republican
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 9,True,sports,politician_6,Senator,Florida,republican
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 10,Pants on Fire,health,politician_3,Blogger,New York,independent
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 11,Pants on Fire,worldnews,politician_3,Blogger,California,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 12,True,sports,politician_20,Senator,Florida,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 13,False,worldnews,politician_19,Blogger,Texas,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 14,Barely True,worldnews,politician_2,Blogger,New York,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 15,Pants on Fire,technology,politician_15,Blogger,New York,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 16,Barely True,politics,politician_1,Blogger,Texas,independent
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 17,True,finance,politician_17,Senator,Texas,democrat
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 18,Mostly True,finance,politician_17,Senator,Florida,democrat
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 19,True,health,politician_7,Senator,Florida,republican
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 20,Pants on Fire,technology,politician_5,Blogger,New York,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 21,Half True,technology,politician_16,Senator,California,republican
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 22,True,worldnews,politician_17,Senator,New York,republican
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 23,Pants on Fire,finance,politician_17,Blogger,New York,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 24,Pants on Fire,sports,politician_16,Blogger,California,independent
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 25,Mostly True,finance,politician_5,Senator,New York,democrat
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 26,False,health,politician_19,Blogger,California,independent
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 27,Pants on Fire,finance,politician_14,Blogger,New York,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 28,Barely True,worldnews,politician_8,Blogger,Florida,independent
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 29,False,finance,politician_9,Blogger,Florida,independent
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 30,Pants on Fire,health,politician_5,Blogger,Texas,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 31,True,health,politician_1,Senator,California,democrat
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 32,False,worldnews,politician_2,Blogger,California,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 33,Pants on Fire,sports,politician_16,Blogger,New York,independent
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 34,False,technology,politician_15,Blogger,California,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 35,Barely True,sports,politician_12,Blogger,California,independent
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 36,True,finance,politician_17,Senator,Florida,democrat
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 37,False,health,politician_11,Blogger,Texas,independent
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 38,Pants on Fire,finance,politician_17,Blogger,Texas,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 39,False,technology,politician_15,Blogger,Florida,independent
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 40,False,politics,politician_17,Blogger,Texas,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 41,True,politics,politician_9,Senator,California,democrat
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 42,False,politics,politician_16,Blogger,California,independent
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 43,Half True,politics,politician_6,Senator,California,republican
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 44,Pants on Fire,politics,politician_7,Blogger,California,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 45,True,sports,politician_9,Senator,Florida,republican
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 46,False,sports,politician_12,Blogger,Texas,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 47,False,technology,politician_8,Blogger,Texas,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 48,False,worldnews,politician_11,Blogger,Texas,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 49,Half True,worldnews,politician_7,Senator,Florida,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 50,Barely True,technology,politician_9,Blogger,Texas,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 51,Half True,finance,politician_4,Senator,Florida,republican
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 52,True,sports,politician_9,Senator,New York,republican
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 53,Half True,finance,politician_1,Senator,California,republican
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 54,Pants on Fire,technology,politician_6,Blogger,Texas,independent
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 55,Pants on Fire,sports,politician_16,Blogger,California,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 56,Barely True,politics,politician_1,Blogger,New York,independent
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 57,True,politics,politician_7,Senator,Florida,republican
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 58,Pants on Fire,politics,politician_20,Blogger,Texas,independent
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 59,Barely True,finance,politician_16,Blogger,Texas,independent
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 60,Barely True,health,politician_20,Blogger,Florida,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 61,Mostly True,politics,politician_9,Senator,California,republican
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 62,True,sports,politician_10,Senator,New York,democrat
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 63,True,health,politician_5,Senator,California,democrat
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 64,True,health,politician_20,Senator,Florida,republican
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 65,False,finance,politician_8,Blogger,California,independent
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 66,Half True,health,politician_12,Senator,Florida,republican
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 67,Mostly True,technology,politician_20,Senator,Texas,democrat
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 68,Barely True,technology,politician_19,Blogger,New York,independent
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 69,Half True,technology,politician_8,Senator,Florida,republican
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - verified claim 70,True,finance,politician_12,Senator,California,republican
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 71,True,politics,politician_4,Senator,New York,democrat
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 72,Half True,finance,politician_8,Senator,New York,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 73,False,health,politician_8,Blogger,California,independent
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 74,Barely True,finance,politician_7,Blogger,Florida,independent
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 75,False,health,politician_15,Blogger,New York,independent
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 76,Pants on Fire,health,politician_4,Blogger,California,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 77,Pants on Fire,finance,politician_19,Blogger,California,independent
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 78,Pants on Fire,politics,politician_20,Blogger,California,independent
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 79,Barely True,sports,politician_8,Blogger,Texas,independent
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 80,Pants on Fire,sports,politician_16,Blogger,Texas,independent
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 81,Half True,politics,politician_15,Senator,Texas,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 82,False,worldnews,politician_14,Blogger,Texas,independent
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 83,Pants on Fire,politics,politician_18,Blogger,California,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 84,Mostly True,worldnews,politician_10,Senator,Texas,democrat
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 85,Pants on Fire,worldnews,politician_7,Blogger,Florida,independent
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 86,Mostly True,finance,politician_20,Senator,Texas,democrat
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 87,True,politics,politician_7,Senator,New York,democrat
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 88,Half True,finance,politician_7,Senator,New York,republican
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 89,Mostly True,worldnews,politician_19,Senator,California,democrat
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 90,True,health,politician_19,Senator,New York,republican
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 91,Mostly True,health,politician_6,Senator,Texas,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 92,Barely True,health,politician_7,Blogger,Texas,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 93,Pants on Fire,worldnews,politician_1,Blogger,New York,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 94,False,worldnews,politician_20,Blogger,Texas,independent
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 95,Barely True,sports,politician_17,Blogger,California,independent
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 96,Barely True,politics,politician_4,Blogger,New York,independent
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 97,Pants on Fire,sports,politician_13,Blogger,California,independent
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 98,Barely True,sports,politician_1,Blogger,Florida,independent
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 99,Half True,health,politician_12,Senator,Florida,republican
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 100,Pants on Fire,politics,politician_17,Blogger,Florida,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 101,Barely True,sports,politician_14,Blogger,Florida,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 102,Mostly True,finance,politician_1,Senator,Florida,republican
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 103,Mostly True,worldnews,politician_13,Senator,New York,democrat
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 104,Barely True,sports,politician_18,Blogger,Texas,independent
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 105,Mostly True,finance,politician_6,Senator,New York,democrat
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 106,Barely True,health,politician_9,Blogger,Texas,independent
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 107,Mostly True,finance,politician_14,Senator,Florida,democrat
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 108,Pants on Fire,technology,politician_20,Blogger,Florida,independent
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 109,Pants on Fire,finance,politician_18,Blogger,Florida,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 110,True,worldnews,politician_7,Senator,California,republican
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 111,Pants on Fire,sports,politician_18,Blogger,New York,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 112,Half True,technology,politician_16,Senator,Texas,republican
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 113,Pants on Fire,worldnews,politician_11,Blogger,Texas,independent
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 114,Pants on Fire,worldnews,politician_8,Blogger,California,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 115,True,worldnews,politician_8,Senator,New York,republican
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 116,False,finance,politician_14,Blogger,New York,independent
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 117,True,technology,politician_13,Senator,New York,republican
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 118,False,worldnews,politician_1,Blogger,Florida,independent
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 119,Half True,politics,politician_14,Senator,California,republican
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 120,Half True,finance,politician_9,Senator,Texas,democrat
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 121,False,technology,politician_16,Blogger,Florida,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 122,Half True,worldnews,politician_9,Senator,California,republican
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 123,False,finance,politician_19,Blogger,California,independent
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 124,False,sports,politician_10,Blogger,New York,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 125,True,health,politician_7,Senator,Florida,democrat
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 126,Mostly True,sports,politician_9,Senator,Florida,democrat
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 127,Pants on Fire,politics,politician_14,Blogger,Texas,independent
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 128,Mostly True,technology,politician_20,Senator,New York,republican
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 129,Barely True,sports,politician_12,Blogger,New York,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 130,Half True,politics,politician_9,Senator,New York,democrat
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 131,Pants on Fire,worldnews,politician_2,Blogger,New York,independent
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 132,Barely True,health,politician_14,Blogger,New York,independent
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 133,Mostly True,health,politician_3,Senator,Florida,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 134,Pants on Fire,worldnews,politician_20,Blogger,California,independent
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 135,Pants on Fire,worldnews,politician_19,Blogger,New York,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 136,Barely True,health,politician_17,Blogger,Texas,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 137,True,politics,politician_16,Senator,Florida,democrat
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 138,True,politics,politician_6,Senator,New York,republican
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 139,True,technology,politician_20,Senator,New York,democrat
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 140,True,health,politician_1,Senator,California,republican
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 141,Mostly True,technology,politician_8,Senator,Texas,democrat
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 142,Barely True,sports,politician_1,Blogger,Texas,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 143,Mostly True,politics,politician_9,Senator,Texas,republican
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 144,Pants on Fire,finance,politician_9,Blogger,Florida,independent
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 145,Mostly True,worldnews,politician_14,Senator,Florida,democrat
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 146,Barely True,finance,politician_11,Blogger,Texas,independent
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 147,Barely True,sports,politician_10,Blogger,New York,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 148,Half True,sports,politician_18,Senator,New York,democrat
